Summary,Issue Type,Priority,Description,Story Points,Sprint,Epic Name,Epic Link
Setup & Infraestrutura Flutter,Epic,High,"Configurar projeto Flutter base com suporte a Android, iOS e Web: tema, roteamento, HTTP client e armazenamento seguro de JWT",,,,
Autenticação,Epic,High,"Telas e lógica de autenticação: boas-vindas, login, registro e logout com JWT",,,,
Dashboard,Epic,High,"Tela principal com saldo mensal, entradas, saídas, gráfico semanal e transações recentes",,,,
Transações,Epic,High,"Listagem paginada e criação de transações financeiras integrada ao backend",,,,
Gráficos e Análises,Epic,Medium,"Tela de análise com gráfico de barras semanal e pizza por categoria com filtros de período",,,,
Metas — Backend Spring Boot,Epic,High,"Endpoints REST para CRUD de metas financeiras com persistência no PostgreSQL e segurança por JWT",,,,
Metas — Flutter,Epic,High,"Tela de metas com CRUD completo, progresso visual, alocação de valor e card motivacional",,,,
Perfil & WhatsApp Linking,Epic,High,"Tela de perfil com dados do usuário, vinculação de WhatsApp, toggle de tema e logout",,,,
QA & Deploy,Epic,Medium,"Testes de widget, CI/CD via GitHub Actions e build para Android, iOS e Web",,,,
Criar projeto Flutter com targets android/ios/web,Task,High,"Executar flutter create com suporte a Android, iOS e Web. Verificar que o app compila e roda nas 3 plataformas sem erros.",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
"Definir estrutura de pastas (features/, core/, shared/)",Task,High,"Organizar o projeto em features/ (auth, dashboard, transactions, charts, goals, profile), core/ (theme, router, http) e shared/ (widgets, utils, constants).",1,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
"Adicionar dependências: go_router, flutter_riverpod, dio, flutter_secure_storage, fl_chart, intl",Task,High,"Adicionar ao pubspec.yaml: go_router (roteamento), flutter_riverpod (estado), dio (HTTP), flutter_secure_storage (JWT), fl_chart (gráficos), intl (formatação BRL). Executar flutter pub get.",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
"Configurar tema global: primaryColor #642a91, fonte Gabarito, suporte a dark mode",Task,High,"Criar AppTheme com ThemeData (light e dark). Registrar fonte Gabarito via pubspec.yaml (copiar TTF do projeto React). Definir paleta de cores como constantes reutilizáveis.",3,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
Configurar assets: logos e imagens do app,Task,Medium,"Copiar piggy-logo.png, piggy-mascot.png, piggy-logo-white.png, coins-blue.png e welcome-bg.png do projeto React para assets/. Registrar no pubspec.yaml.",1,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
Configurar cliente HTTP Dio com interceptor de Bearer token,Task,High,"Criar DioClient singleton com baseUrl configurável por environment. Adicionar interceptor que injeta Authorization: Bearer <token> em todas as requisições autenticadas. Tratar 401 redirecionando para /welcome.",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
Configurar armazenamento seguro de JWT (flutter_secure_storage),Task,High,"Criar AuthStorage com métodos saveToken, getToken e clearToken usando flutter_secure_storage. Garantir funcionamento em Android, iOS e Web (Web usa localStorage como fallback).",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
"Configurar go_router com rotas públicas e protegidas (redirect guard)",Task,High,"Definir rotas: /welcome, /login, /register (públicas) e /, /transactions, /add, /charts, /goals, /profile (protegidas). Implementar redirect que lê token de AuthStorage e redireciona para /welcome se ausente.",3,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
Configurar tratamento global de erros via SnackBar,Task,Medium,"Criar AppErrorHandler utilitário que recebe DioException ou Exception e exibe mensagem amigável via ScaffoldMessenger. Mapear status 401, 403, 404 e 500 para mensagens em português.",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
Criar Dockerfile multi-stage para build Flutter Web com nginx,Task,Medium,"Criar Dockerfile: stage 1 instala Flutter SDK e executa flutter build web --release, stage 2 copia /web para nginx. Adaptar entry no docker-compose.yml (./frontend) para apontar para novo Dockerfile.",2,Sprint 1 — Setup & Autenticação,,Setup & Infraestrutura Flutter
"Como usuário, quero ver a tela de boas-vindas para escolher entre login e cadastro",Story,High,"Tela estática de apresentação do app com logo, mascote animado e dois botões de ação claros.",2,Sprint 1 — Setup & Autenticação,,Autenticação
"Implementar tela Welcome: logo, mascote animado e botões Login/Registro",Task,High,"Construir WelcomePage com: logo centralizado, mascote (AnimatedContainer com efeito bounce suave), botão primário Entrar (/login) e botão secundário Criar conta (/register) via go_router.",3,Sprint 1 — Setup & Autenticação,,Autenticação
"Como usuário, quero fazer login com email e senha",Story,High,"Formulário de login com validação de campos, estado de loading durante requisição e redirecionamento para Dashboard após sucesso.",3,Sprint 1 — Setup & Autenticação,,Autenticação
"Implementar tela Login: formulário com validação e loading state",Task,High,"Criar LoginPage com Form, TextFormField para email (validação de formato) e senha (obrigatório), ElevatedButton com CircularProgressIndicator durante chamada API e exibição de erro em caso de falha.",3,Sprint 1 — Setup & Autenticação,,Autenticação
Integrar POST /api/auth/login e salvar JWT no secure storage,Task,High,"Chamar POST /api/auth/login com email e senha. Salvar token retornado via AuthStorage.saveToken(). Navegar para / via go_router.go após sucesso. Exibir erro da API em caso de falha.",2,Sprint 1 — Setup & Autenticação,,Autenticação
"Como usuário, quero criar uma conta",Story,High,"Formulário de registro com nome, email e senha. Após cadastro bem-sucedido, login automático e redirecionamento para Dashboard.",3,Sprint 1 — Setup & Autenticação,,Autenticação
"Implementar tela Register: formulário (nome, email, senha) com validação",Task,High,"Criar RegisterPage com três TextFormField: nome (obrigatório), email (formato válido) e senha (mínimo 6 caracteres). Loading state durante chamada. Exibir erro de API.",3,Sprint 1 — Setup & Autenticação,,Autenticação
Integrar POST /api/auth/register com login automático pós-cadastro,Task,High,"Chamar POST /api/auth/register. Em caso de sucesso, chamar POST /api/auth/login com as mesmas credenciais, salvar token e navegar para Dashboard via go_router.go('/').",2,Sprint 1 — Setup & Autenticação,,Autenticação
"Implementar BottomNavigationBar com abas: Dashboard, Transações, +, Gráficos, Metas, Perfil",Task,High,"Criar AppBottomNav widget com NavigationBar do Material 3. Abas: Dashboard (home), Transações (list), + (fab que navega para /add), Gráficos (bar_chart), Metas (flag), Perfil (person). Ocultar nas telas de auth.",3,Sprint 1 — Setup & Autenticação,,Autenticação
"Como usuário, quero ver meu saldo atual, entradas e saídas do mês",Story,High,"Card principal do Dashboard exibindo saldo atual em destaque, total de entradas e total de saídas do mês corrente formatados em BRL.",3,Sprint 2 — Dashboard & Transações,,Dashboard
Implementar BalanceCard com formatação BRL,Task,High,"Criar BalanceCard widget com saldo em texto grande e dois sub-cards (Entradas com ícone ArrowDownLeft, Saídas com ArrowUpRight). Formatar todos os valores com NumberFormat.currency(locale: 'pt_BR').",2,Sprint 2 — Dashboard & Transações,,Dashboard
"Integrar GET /api/v1/transactions/summary com filtro do mês atual",Task,High,"Chamar GET /api/v1/transactions/summary?startDate=YYYY-MM-01&endDate=YYYY-MM-DD calculando datas do mês atual. Mapear income, expense e balance para o BalanceCard via Riverpod AsyncNotifier.",2,Sprint 2 — Dashboard & Transações,,Dashboard
"Como usuário, quero ver as últimas transações no Dashboard",Story,High,"Lista compacta com as 3 transações mais recentes: ícone de categoria, descrição truncada, valor colorido e data.",2,Sprint 2 — Dashboard & Transações,,Dashboard
"Implementar RecentTransactionsList com ícone de categoria, descrição, valor e data",Task,High,"Criar RecentTransactionsList widget com ListView de 3 itens. Cada item: Container colorido com emoji da categoria, descrição (maxLines: 1), valor colorido (verde/vermelho) e data formatada (dd/MM).",3,Sprint 2 — Dashboard & Transações,,Dashboard
Integrar GET /api/v1/users/me para exibir nome do usuário no header,Task,Medium,"Chamar GET /api/v1/users/me após autenticação e armazenar UserModel no estado global via Riverpod. Exibir nome no header do Dashboard: 'Olá, {nome}'.",1,Sprint 2 — Dashboard & Transações,,Dashboard
Implementar mini gráfico de barras semanal no Dashboard,Task,Medium,"Criar WeeklyBarChart widget com fl_chart BarChart. Agrupar despesas das transações carregadas por dia da semana atual (Dom–Sáb). Exibir barras com cor primária e tooltip com valor em BRL.",3,Sprint 2 — Dashboard & Transações,,Dashboard
Implementar pull-to-refresh na tela Dashboard,Task,Low,"Envolver conteúdo do Dashboard em RefreshIndicator. Ao puxar para baixo, invalidar providers de summary, transações recentes e usuário para forçar recarregamento.",1,Sprint 2 — Dashboard & Transações,,Dashboard
"Como usuário, quero ver todas as minhas transações com paginação",Story,High,"Tela com lista completa de transações ordenadas por data, carregando mais itens automaticamente ao rolar até o fim.",3,Sprint 2 — Dashboard & Transações,,Transações
Implementar tela Transactions com lista paginada (infinite scroll),Task,High,"Criar TransactionsPage com ListView.builder. Detectar scroll próximo ao fim (controller.position.pixels >= maxScrollExtent - 200) e carregar próxima página. Exibir CircularProgressIndicator no rodapé durante carregamento.",5,Sprint 2 — Dashboard & Transações,,Transações
"Integrar GET /api/v1/transactions paginado (page=N, size=20)",Task,High,"Criar TransactionsNotifier (Riverpod AsyncNotifier) com estado acumulativo de páginas. Chamar GET /api/v1/transactions?page=N&size=20. Parar carregamento ao atingir última página (content.length < size).",2,Sprint 2 — Dashboard & Transações,,Transações
"Implementar TransactionCard: ícone categoria, descrição, valor, data",Task,High,"Criar TransactionCard widget reutilizável com: Container colorido com emoji da categoria, coluna com descrição (bold) e categoria (muted), valor formatado em BRL (verde para receita / vermelho para despesa) e data dd/MM.",3,Sprint 2 — Dashboard & Transações,,Transações
"Como usuário, quero adicionar uma nova transação",Story,High,"Tela de formulário para criar transação com seleção de tipo (receita/despesa), descrição, valor e categoria (apenas para despesas).",3,Sprint 2 — Dashboard & Transações,,Transações
"Implementar tela AddTransaction: toggle tipo, campo descrição e valor",Task,High,"Criar AddTransactionPage com SegmentedButton para Receita/Despesa, TextFormField para descrição e TextFormField numérico com inputFormatters para valor monetário. Botão Salvar com loading state.",3,Sprint 2 — Dashboard & Transações,,Transações
